Respondent,Assignment,Activities,Airline.01a_OE (Pre20),Airline.01b_OE (Pre20),Airline.01c_OE (Pre20),Airline.02a_OE (Pre20),Airline.02b_OE (Pre20),Airline.02c_OE (Pre20),Airline.02d_OE (Pre20),Crude.2a_OE,Crude.2bc_MCOE (Pre 19),Crude.2bc_MCOE (Pre 19) follow up,Crude.3a_MC (Pre19 v2),Crude.3bc_MCOE (Pre19 v2),Crude.3bc_MCOE (Pre19 v2) follow up,Crude.04ab_MCOE (Pre19),Crude.04ab_MCOE (Pre19) follow up,Crude.06_OE (Pre19 v2),Crude.06_OE (Pre19 v2) follow up,Crude.06a_MC (Pre20),Crude.06bc_OE (Pre20 ),Crude.06bc_OE (Pre20 ) follow up,Crude.2a_MC (Pre20),Crude.2b_MC_sort,Crude.2b_MC [119]_1,Crude.2b_MC [119]_2,Crude.2b_MC_drag (Pre20),Crude.2b_MC_drag (Pre20)_1,Crude.2b_MC_drag (Pre20)_2,Wildlife .01a_OE (Pre20),Wildlife .01b_OE (Pre20),Wildlife .01c_OE (Pre20),DDT.02a_OE (Pre19),DDT.02b_OE (Pre19),Word.MC.01 (Pre 19),Word.03_MC (Pre 19),Word.04a_OE (Pre 19),Word.04b_OE  (Pre19),Glow.01a.MC_NoLabels,Glow.01c.MC,Glow.02a.MC,Glow.02b.MC,Glow.02c.MC,Glow.03a.MC,Glow.03b.MC.grh,Glow.03b.MC.eq,Glow.04a.MC,Glow.04b.MC.grh,Glow.04b.MC.eq,Pop.01_MC (Pre20) [12],Pop.02_MC (Pre20) [12],Pop.03ab_MCOE (Pre20) [66],Pop.03ab_MCOE (Pre20) [66] follow up,Pop.04_OE (Pre20) [13-16],Pop.04_OE (Pre20) [13-16]_1,Pop.04_OE (Pre20) [13-16]_2,Pop.04_OE (Pre20) [13-16]_3,Pop.04_OE (Pre20) [13-16]_4,Pop.04_MC_drag (Pre20) [ ],Pop.04_MC_drag (Pre20) [ ]_1,Pop.04_MC_drag (Pre20) [ ]_2,Pop.04_MC_drag (Pre20) [ ]_3,Pop.04_MC_drag (Pre20) [ ]_4,Pop.07ab_OE,Pop.07ab_OE follow up,Pop.09ab_MCOE (Pre20),Pop.09ab_MCOE (Pre20) follow up,Pop.09_MC_sort (Pre20),Population.09_MCMC_1,Population.09_MCMC_2,Pop.10ab_MCOE (Pre20),Pop.10ab_MCOE (Pre20) follow up,Pop.10_MC_sort (Pre20),Population.10_MCMC_1,Population.10_MCMC_2,Cycle.02_MC_sort (Pre20),Cycle.02_MC_1,Cycle.02_MC_2,Cycle.02_MC_3,Cycle.02_MC_4,Cycle.03a_OE (Pre19),Cycle.3a_MC_S,Cycle.3a_MC_1,Cycle.04ab_MCOE [22],Cycle.04ab_MCOE [22] follow up,Pest.02a_MC,Pest.02b_OE,Pest.03_OE (Pre19),Pest.03_OE (Pre19)_1,Pest.03_OE (Pre19)_2,Pest.03_OE (Pre19)_3,Pest.03_OE (Pre19)_4,Pest.03_MC_drag,Pest.03_MC_drag_1,Pest.03_MC_drag_2,Pest.03_MC_drag_3,Pest.03_MC_drag_4,Pest.05.05a_MCOE,Pest.05.05a_MCOE follow up,Pest.06a_MC,Pest.06b_OE,Pest.06ab_MC_sort (Pre20),Pest.06_MCMC_1,Pest.06_MCMC_2,Pest.07a_MC,Pest.07ab_OE,Pest.07ab_MC_sort,Pest.07_MCMC_1,Pest.07_MCMC_2,Pest.06_MC_drag,Pest.06_MC_drag_1,Pest.06_MC_drag_2,Pest.07ab_MC_drag (Pre 20),Pest.07ab_MC_drag (Pre 20)_1,Pest.07ab_MC_drag (Pre 20)_2,Water.01a_MC,Water.01b_OE,Water.01b_MC_sort (Pre20),Water.01b_MC_1,Water.01b_MC_drag (Pre20),Water.01b_MC_drag (Pre20)_1,Brake .02_MC (Pre20 no label),Garden.2.1_2.8_NU (Pre19),Garden.2.1_2.8_NU (Pre19)_1,Garden.2.1_2.8_NU (Pre19)_2,Garden.2.1_2.8_NU (Pre19)_3,Garden.2.1_2.8_NU (Pre19)_4,Garden.2.1_2.8_NU (Pre19)_5,Garden.2.1_2.8_NU (Pre19)_6,Garden.2.1_2.8_NU (Pre19)_7,Garden.05ab_MCOE  (Pre20),Garden.05ab_MCOE  (Pre20) follow up,Garden.02_MC (Pre20),D.04_grade_level,D.05_gender,D.09_Race_ethnicity,D.10_Math_courses,D.11_Apcourses,D.12_IB,D.02_Class,D.03_Teacher,D.08_hispanic_YN,D.06_English_LearnerYN,D.07_English_proficiency,D.01_Consent
1092,1359,PSM_Pretest_2020_C,,,,,,,,,,,,,,,,,,c,You are able to see in the graph that during the 1980's there is a significant pattern of a decrease within the production. The graph is increasing at nearly all other points.,There could have been a surplus of oil during this time period that caused the oil production to decrease to even out with the purchasing of oil. The demand for oil was not needed during this time perhaps.,c,,,,"Representation: 1;Reason(s): 2,5",b,"c,f",,,,This graph does not match the situation described above as it a simple mx+b style graph. Half life is a form of exponential decrease so there should have been a point of rapid decrease in response to the change in x and y values.,"This graph does match the situation described above because it is representing exponential decrease-which is exactly what half life is. The time amount (x value) will decrease based off of the previous years amount. In this graph, there is a point of rapid decrease.",,,"Maya's graph is at a constant rate which is incorrect as in Ken's graph it clearly shows that he learned more words as time went by. In the beginning, he was not able to memorize many words but the rate increased with time.","Mason's graph represents a significant decrease all the way down to zero after around 16 minutes of studying. This also falsely represents Ken's studying statistics because you are able to see in Ken's graph that it leveled out to zero before 40  minutes. Also, it was a gradual decrease in words per minute and not a sharp decrease like Mason's graph.",d,,b,,a,,,,b,,a,a,b,,,=   Number of People    =   The initial amount of people    =   The growth rate    =   Years since 1965,Number of People,The initial amount of people,The growth rate,Years since 1965,,,,,,There is more than enough food adequate for the population of Newland. There is a surplus of food during 2015,"The Newland's Food Supply line (black line) is greater and higher than the Newland's Population line (red line). The greater amount the food supply is, the more food there is for the population.",a,"The graph above shows not only the current statistics of the food supply and population but also the projected amounts of these variables. With this additional information, you are able to see that in the future, the food supply will be at a low and not have enough adequate amounts to feed the growing population.",,,,a,The projected amounts for the food supply and population is apparent in this graph. By looking at the graph you can clearly see that the food supply will outstrip the growing population around year 80.,,,,: d;: a;: c;: b,d,a,c,b,,: d,d,a,The number of minutes passed for Angel to reach the elevation of 0 is less than the number of minutes passed for Robin to reach the elevation of 2000. You can see that the range of Angel's line is less than the range of Robin's line.,d,Exponential growth is depicted in this graph. You are able to see that the line in the graph exponentially grows by the rapid increase in the x values in the graph. It starts off pretty normal but grows rapidly as x values increase.,=   Spore Density    =   Initial density of the spores    =   The rate of growth of spores    =   Time since planting the spores (in months),Spore Density,Initial density of the spores,The rate of growth of spores,Time since planting the spores (in months),,,,,,,,,,,,,,,,,,,,,,,,b,"While tunnel 1 supplied more water at one point and had the peak amount of water supplied. The overall water supplied came mostly from tunnel 2. Throughout the day, tunnel 2 had a greater amount of water output whereas tunnel 1 was inconsistent and had many changes to it. Tunnel 2 was more consistent and remained the same throughout the different times of day.",,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1377,1709,PSM_Pretest_2020_C,,,,,,,,,,,,,,,,,,b,The graph shows different plots that are very erratic and different than the other decades,There was a 1973 oil crisis,c,,,,"Representation: 1;Reason(s): 2,5",b,"c,f",,,,No i did not it took 75 years,"It does match the description, because half of the amount of DDT is 500 grams and it did take 15 years.",,,She is learning the same amount of words in different times.,Mason’s graph ends up being zero.,d,,d,,d,,,,b,,a,a,a,,,=   Number of people(millions)    =   Slope    =   New population     =   Years since 1965,Number of people(millions),Slope,New population,Years since 1965,,,,,,The Newland’s Population is a lot less then the amount of Newland’s food supply.,The food supply line is higher than the population line.,b,The Equations will give the Department of Agriculture more detailed data then the graph.,,,,a,The graph will show the where the projected lines will cross and outstrip its food supply,,,,: e;: a;: c;: b,e,a,c,b,,: c,c,a,Angel’s line eventually stops before Robin’s,b,Log graphs curve,=   Spore density    =   Change of density over time    =   3    =   Time since planting,Spore density,Change of density over time,3,Time since planting,,,,,,,,,,,,,,,,,,,,,,,,b,Gives more water over longer time,,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1337,1669,PSM_Pretest_2020_C,,,,,,,,,,,,,,,,,,c,The graph decreased greatly during the 1980s compared to other time periods of the graph.,During the 1980s there was a great decrease in oil production that was otherwise not seen in the graph.,c,,,,"Representation: 1;Reason(s): 2,5",b,"c,f",,,,"The graph starts with the correct y-value being 1000 as the amount of DDT (grams) measured in 1970 was 1000 grams. The graph also continuously decreases the y-value over time to show the breakdown of DDT. However, the graph should be exponential after 15 years since the half-life of DDT is 15 years, meaning that the amount of DDT should decrease by 50% each year after 15 years.",This graph is very accurate as it starts with 1000 grams of DDT the first year and the amount decreases exponentially and the slope increases after 15 years.,,,"Maya's graph depicts that Ken's rate of learning was constant throughout the forty-minute period.  Her graph tells us that Ken learned the same amount of words each minute which is not the case when looking at Ken's graph. Ken was initially learning a constant of  5 words every 4 minutes, but after 16 minutes, he began to learn fewer words each minute.","In Mason's graph, Ken's rate of change is constant for the first 16 minutes. This portion of his graph is correct and agrees with Ken's graph. However, after the 16th minute, the number of words Ken learns per minute is decreasing, however, it is not a constant decrease in his rate of learning and therefore Mason's graph should not be linear.",c,,d,,a,,,,b,,a,d,b,,,=   population    =   initial population    =   rate of change    =   years,population,initial population,rate of change,years,,,,,,"As the population increases, there is expected to be an increase in the food supply. The population growth is exponential while the food supply increase is linear. After 80 years, there is expected to be less food supply than what would be needed to support the population.","Both graphs intersect at 80 years when the population is at about 40 million people, which means that the carrying capacity of people in Newland according to food supply is about 40 million people.",a,"The graph shows that from 2015-2025, 50-70 years on the graph, there will be an excess of food supply. There will be more food in the country than necessary to support the population.",,,,a,"The graph provides an easy way to demonstrate at which year the food supply will be outstripped by an excess of 1.25 million more people than it can supply. The congress members would simply have to locate the intersection of the two lines at 80 years after 1965 when the population is 40 million, and then determine what year it will be when the population exceeds 1.25 million over this intersection.",,,,: d;: a;: c;: b,d,a,c,b,,: d,d,a,The slope of Angel's hike is greater than the slope of Robin's hike.,d,"Since the growth of the mold is exponential, it would be necessary to use y=a(1+r)^x as it is the only equation that would allow for a graph demonstrating exponential growth.",=   the spore density (N) per plant    =   initial amount of mold    =   rate of growth of the mold    =   time since planting (months),the spore density (N) per plant,initial amount of mold,rate of growth of the mold,time since planting (months),,,,,,,,,,,,,,,,,,,,,,,,b,Tunnel 1 had a more constant supply of water for a long period of time while Tunnel 2 only peaked at noon and otherwise provided very little water supply to New York.,,,,,d,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1415,1750,PSM_Pretest_2020_B,,,,,,,,,,,,,,,,,,c,Its the greatest fall in comparison to the rest of the graphs trends,A lot of other things came in to popularity during that time period,c,,,,"Representation: 1;Reason(s): 2,7",b,"c,h",Despite its size it has a relatively small amount of wildlife-vehicle collisions,The % of wildlife-vehicle collisions made up from total collisions,California might have more precautions/signs/ or alternatives to avoid run-ins with wildlife,It does not have a half life of 15 years,The graph accurately represents this chemicals half life,,,Mayas' graph shows that she not only starts out memorizing words but that it doesn't change as time passes,Masons' shows that he actually forgets what he's learned as time goes by and also starts out memorizing words,e,,d,,d,,,,,,,d,a,,,=   Populations after calculated    =   Original Population    =   Rate of growth    =   Years,Populations after calculated,Original Population,Rate of growth,Years,,,,,,The food supply is twice as much as the population at that point on the graph,Right before the projections begin the population is estimated around 15 million while food supply was around 30 million,a,"To prove the need for and increase in food supply, since the graph shows the population will surpass it in the near future",,,,b,It would allow for you to calculate more accurately when that specific event might happen,,,,: e;: a;: c;: b,e,a,c,b,,,,a,The slope of his function was steeper than the Robins',d,"Its an exponential equation that gets bigger, faster",,,,,,: 0; : 3;: 2;: 5,a,d,c,f,,,,,,,,,,,,,"Representation: 0;Reason(s): 2,6",a,"c,g","Representation: 0;Reason(s): 3,7",a,"d,h",b,,,,"Justification: 2,3","c,d",,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1423,1758,PSM_Pretest_2020_A(c),,,,,,,,,b,"Since we are looking foe exact changes in values, the table is more helpful because the information/data is accurate compared to a graph",,,,,,,,c,"The graph shows that the values we decreasing more often in the 1980s compared to the overall trend, which increasing.",It may be due to an economic collapse or a period of scarcity of oil.,c,,,,,,,,,,"The graph is supposed to be decreasing at an exponential rate, so the graph should be curved.","The situation matches because the initial amount keeps decreasing by 1/2 about every 15 years, represented by a curved graph.",,,"the number of words learned is not constant, so the graph should not be a straight line","the graph should begin to slope downward at 16, the graph should be steeper after x=16, and the graph reaches 0 at about 36, not 40.",d,,d,,a,,,,,,,d,b,,,=   total population of Newland    =   population of Newland in 1965    =   growth rate    =   years since 1965,total population of Newland,population of Newland in 1965,growth rate,years since 1965,,,,,,"The food supply can feed about 30 million more people than the total population of Newland. Therefore, there is a surplus of food supply for the Newland population in 2015.",The gap between the amounts at x=50 shows the difference between food supply and population.,a,"The graph is a better representation of the projected food supply and population, whereas equations can become confusing and numerous.",,,,b,"Since the congress members want to find a specific amount, and equation will be more accurate than graphs because graphs are more used for estimates or the bigger picture.",,,,: d;: a;: c;: b,d,a,c,b,,,,a,"Angel reached the ground before robin reached the peak, represented by the x-values the graphs stop at.",d,"The graph shows an exponential function, which is best represented by this function I chose.",,,,,,,,,,,,,,,,,,,,,,,"Representation: 1;Reason(s): 4,7",b,"e,h",Representation: 1;Reason(s): 4,b,e,,,,,,,b,,,,,,,,,a,"The area is found by squaring the length, which is portrayed accurately in the table. However, the lengths are not negative, so to prevent confusion the lengths should be greater than or equal to 0.",d,****,****,****,****,****,****,****,****,****,,,****
1432,1768,PSM_Pretest_2020_E(c),,,,,,,,,,,,,,,,,,c,"In the 1980s, the graph decreases a little more than other years.",Maybe in the 1980s they used less oil.,c,,,,"Representation: 1;Reason(s): 2,7",b,"c,h","In California, their wildlife-vehicle collisions aren't nearly as much as their total number of vehicle collisions. They have more vehicle collisions than any other state listed on the table, but (besides Washington) have the least amount of wildlife-vehicle collision.",The numbers on the on the table and the table labeling the states help me make this observation about California.,"Compared to the other states, California is very busy and doesn't have as many habitats for the animals to live near the busy places.","According to the statement above, the half life is every 15 years. After three half lives (45 years) the mass should be no more than 125. As seen on the graph, at 50, the mass is a little more than 625. This does not make sense because the mass should be under 125 after 45 years, not higher.","In this graph, the decrease is not consistant. It takes a fast decrease then it begins to slow down after 50 years. According to the statement above, the half life is every 15 years, regardless of the mass.",,,"Maya's graph is wrong because it is consistent. As you study, you should remember more (increase) not just remember what you knew before (consistent).","Mason's graph is wrong because his graph is decreasing. As you study, you should remember more (increase) not remember less (decrease)",a,,d,,a,,,,,,,a,b,,,=   Total population of Newland    =   Number of years    =   Original population    =   Rate of change,Total population of Newland,Number of years,Original population,Rate of change,,,,,,There is enough food in 2015 to supply for the population in Newland.,The population in 2015 (red solid line) is less than the food supply in 2015 (black solid line) which proves that there is enough for the population.,b,"They should use the equations because on the graph, you can't tell exactly where the population and food supply will be. The equations give you an exact estimate.",,,,a,The graph should be used so that they can get an estimate of the year the food supply will run low compared to the population.,,,,: e;: a;: d;: b,e,a,d,b,,: b,b,a,"By the looks of the graph, Angels slope is more intense than Robin's slope.",d,I picked this function because functions curve with this function.,,,,,,: 0; : 3;: 2;: 5,a,d,c,f,,,,,,,,,,,,,"Representation: 1;Reason(s): 4,7",b,"e,h",,,,,,,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1424,1759,PSM_Pretest_2020_F,Arrivals are at their highest in July each year.,The peaks of each line are at their highest in each july when you look at the graph.,They're summer months so many people are on vacation. Causing them to travel more,summer leading into winter,the difference in the amount of europes arrivals in july 2013 compared to asias.,Many people go into europe for the bigger holidays like christmas. The mountains etc,No. The graph only gives you numbers on arrivals into that certain area. You need more information on what these people enjoy doing in those areas to grab their attention.,,,,,,,,,,,c,The dips in the graphs values,There wasnt a need for as much oil.,c,,,,Representation: 1;Reason(s): 2,b,c,,,,Supposedly the half-life is 15 years. But in the graph it shows that half is depleted after 75 years. The slope of this line should be steeper.,this graph matches the situation because the DDT amount is decreasing with the 15 year half-life measurement.,,,The learning is constant. But there could be other factors to learning.,Why is the student losing words learned by minute? It should be increasing.,b,,d,,b,,,,b,,a,b,d,,,=   The number of people in that year    =   slope    =   original population    =   time passed,The number of people in that year,slope,original population,time passed,,,,,,As the population increased the food supply did as well,The food supply is still increasing. (Still a linear line that has yet to decrease in numbers),b,The equations can give an exact number needed while the graphs are theoretical determined by the previous values.,,,,a,Because it shows visually when the population will pass the food supply.,,,,: d;: a;: c;: b,d,a,c,b,,,,a,The slop of both lines. Angel's slope is steeper meaning she was moving at a faster pace and found her position faster than Robin.,b,functions that use the log equation usually have a curve that is shown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,"Justification: 6,2","g,c",b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1455,1798,PSM_Pretest_2020_B,,,,,,,,,,,,,,,,,,c,"By looking at the graph, the line representing the data clearly shows several dips during the 1980s.",The oil in the previous decades was finally used up by the 1980s. Their location ran out of oil resource and they struggled to find more locations wiht oil. There were also many major oil spills in this decade.,c,,,,"Representation: 1;Reason(s): 2,7",b,"c,h",Wildlife-vehicle collisions are much rarer than the other states. They have way more accidents than the other states but the least amount of wildlife-vehicle accidents.,"The last 3 sections of the chart. # of accidents, # of wildlife accidents, and % of accidents are wildlife.",California is more densely populated in urban areas according to the graph so they don't run into much wildlife,"This graph is inconsistent because it is a consistent slope to zero, which is n possible if DDT loses half of its mass every 15 years.",This graph matches the situation decribed above. It clearly displays a a half reduction of DDT after 15 years. It slowly approaches zero because the DDT is being halved after every 15 years. The amount of DDT is half of 15 years back so the slope of the line correctly displays it slowing down.,,,The longer ken studied the less words he memorized. So Maya's graph is incorrect because based on her graph ken was consistent in the number of words he memorized per minute.,The number of words ken was memorizing per minute towards the end was pretty slow. But after the 32 minute mark or so his words memorized were stable and consistent so Mason's graph is incorrect because his graph is concluding that Ken got slower when he was consistent towards the end of the data.,f,,d,,b,,,,,,,d,d,,,=   total number of people    =   initial amount    =   rate of growth    =   number of time intervals,total number of people,initial amount,rate of growth,number of time intervals,,,,,,There is still plenty of food available for the people of Newland. More food supply than population,The Black line is the food supply and according to the chart there is enough to feed 30 million people and there are only 15 million people in Newland,a,Displaying a graph is more visual appealing and easier to understand. Its projecting the equation in a simple line making it easier to people to understand the growth so they don't have to figure it out by just looking at numbers.,,,,b,You could get a more detailed and description number on the people and the food supply. Chart is an accurate display of the equations but the equations are much more in depth. When it comes to big numbers a small margin can make a big difference so knowing the detailed number can get you a more increasingly valid projected number.,,,,: e;: a;: c;: b,e,a,c,b,,,,a,The red line ends faster,d,"it seemed most logical to me. this equation has curves in it, has varibals like rate and x for number of times",,,,,,: 2; : 6;: 8;: 9,c,g,i,j,,,,,,,,,,,,,Representation: 0;Reason(s): 2,a,c,Representation: 1;Reason(s): 4,b,e,b,,,,"Justification: 2,6","c,g",,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1453,1794,PSM_Pretest_2020_F,As one goes up the other does and vice versa,the number of passengers,these are high vacation times.,in january,The dates on the x axis,it is cold in Europe,"No, as  there is no reasoning behind the lack of travelers at a certain part of the year",,,,,,,,,,,c,The graph shows a drop in the 80s,Maybe a recession,e,,,,Representation: 1;Reason(s): 2,b,c,,,,in 15 years it shouldve been at 500,"it matches, as at 15 years it is at 500",,,her graph remains consistent,his graph goes down as more time progresses,b,,d,,d,,,,b,,a,d,b,,,=   number of people    =   years since 1965    =   starting number    =   degree,number of people,years since 1965,starting number,degree,,,,,,"new lands food supply remains consistently above new lands population, but the population slowly seems to rise",projected supply and population,a,The graph shows a projected population and food supply,,,,b,The equations will give a more  exact number,,,,: e;: c;: b;: d,e,c,b,d,,,,a,Angel's line is steeper,b,the graph curves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,"Justification: 6,3","g,d",b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
513,1791,PSM_Pretest_2020_B,,,,,,,,,,,,,,,,,,b,Because it spiked up,Because oil had a high production rate.,c,,,,"Representation: 1;Reason(s): 2,7",b,"c,h",California has the highest number of vehicle collisions and the lowest wildlife-vehicle collisions.,"Total vehicle collisions equal 890,000. Wildlife collisions equal 5,000.",Because it is a big state.,It doesn't because DDT decreases.,It doesn't because DDT decreases.,,,Her graph is a zero.,His graph goes done while the graph curves up.,d,,d,,d,,,,,,,d,b,,,=   number of people in millions    =   idk    =   percentage    =   number of years,number of people in millions,idk,percentage,number of years,,,,,,"As the population increased, the food supply increased as well.",The solid red line curved up and the solid black line is straight up.,a,Because it goes forward to 20 years after 2015 and it shows how the food supply will not support the population.,,,,b,Because it will give an exact amount.,,,,: d;: b;: c;: a,d,b,c,a,,,,a,Because Angel's is more straight down.,d,Because it is curved.,,,,,,: 0; : 3;: 4;: 9,a,d,e,j,,,,,,,,,,,,,"Representation: 1;Reason(s): 4,7",b,"e,h","Representation: 1;Reason(s): 4,5",b,"e,f",b,,,,"Justification: 6,7","g,h",,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
505,1787,PSM_Pretest_2020_D(c),"The patterns between the two countries are similar with regards to their fluctuation in number of passengers throughout the years. For example, there are increases in numbers in both Asia and Europe from January - July of 2010. There are also visible decreases from July 2010 - January 2011, and others too seen in the trends of the graph.","The graph displays lines that repeat in an up and down manner, showing the increases and decreases of the data.","It could be because traveling is more frequent around specific holidays or months, and it is less frequent during other months.",Between January 2012 and July 2012.,"There is a large disparity between these two times, larger than any of the gaps.","People traveling to San Francisco for jobs, or just for holidays.",No because it doesn't give enough information that will help conduct a marketing campaign because for a marketing campaign you need more specific and less generalized data such as client interest.,,,,,,,,,,,c,"On the graph, there is a large increase that can be seen in the 1980s section, thus showing the different pattern.",Economy could differ.,c,,,,Representation: 1;Reason(s): 2,b,c,,,,"This doesn't match the situation because at 15 years, it doesn't accurately show the right half life.",This matches the situation because it accurately shows the half life at 15 years.,,,Maya's graph doesn't show any change in learning as time goes on.,"Mason's graph on the other hand shows that there was a change, but his graph shows that the number of words memorized decreased as time went on, which doesn't support the initial graph that Ken did.",d,,a,,a,,,,b,,a,a,b,,,=   amount of time after a certain period    =   starting amount of population    =   growth rate    =   time,amount of time after a certain period,starting amount of population,growth rate,time,,,,,,"As the food supply increases, the population does.",The graph lines show that they increase.,b,It provides a more accurate answer.,,,,b,"The equation, because if you use the graph, it won't give you an exact answer, it will only give you a general answer.",,,,: e;: b;: a;: c,e,b,a,c,,": d,a","d,a",a,The lines of the graph show that Angel reached her destination faster because that line on the graph is shown to stop before Robins.,d,The equation I chose is used to show the exponential growth and decay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1451,1792,PSM_Pretest_2020_A(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This graph does match the situation described above because when plugged into the equation 1000(1/2)^(150)(15) the answer equals 0 which matches with the end result of the graph. The graph also appears to be decreasing at a consistent rate and by the same increments following the rules of a half life.,This does not match the graph because it does not appear to be decreasing at a consistent rate. At around 50 the graph becomes much less steep and that would indicate a change in slope which could not occur with the provided half life.,,,Maya's graph does not display any change and the graph is supposed to display a rate of change.,Mason's graph shows a rate of change but its negative. One does not lose information over the course of studying they usually gain. Ken's graph was intended to show the rate at which this gain occurs and while Mason's graph shows a rate its going in the wrong direction.,d,,a,,a,,,,,,,d,c,,,=   number of people millions     =   rate of increase (4%)    =   starting value (2 mill)    =   years since 1965,number of people millions,rate of increase (4%),starting value (2 mill),years since 1965,,,,,,Newlands food food supply remains at a consistent increase however at year 50 Newlands population begins to increase more rapidly perhaps creating an imbalance and arising the concern that the food supply will not meet the needs of the growing population.,the most evident features of the graph that lead me to this conclusion is that well Newlands population is increasing exponentially while the food supply is increasing linearly; one is increasing consistently while the other increases by larger margins each year.,a,"They should use this graph because the visual will be more effective in convincing than an equation, the visual shows an alarming situation where the equation would just provide numbers that are more useful later on in the planning of implementing this plan.",,,,b,"The equation would provide a more accurate answer than the graph could, and would be used for its intended purpose this way.",,,,,,,,,,,,,,d,I believe that the equation should be exponential based on the graph. Generally a line that has an changing slope is exponential.,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,b,,,,,,,,,b,Because one would have to take the area and square root it to find the length and this chart does not display that method.,d,****,****,****,****,****,****,****,****,****,,,****
512,1797,PSM_Pretest_2020_C,,,,,,,,,,,,,,,,,,a,"The slope of the graph in the late 60s is much steeper than other parts of the graph, and for a longer time",new types of drilling,c,,,,"Representation: 1;Reason(s): 2,5",b,"c,f",,,,"The graph is linear, while he should be using a formula for exponential decay. The line does not match the values of DDT. It does start at 1000 and end at 0","The graph looks to be a good match for the exponential decay of DDT, but after 30 years it becomes difficult to tell without exact numerical values",,,"If maya's graph were true, then ken would've memorized the exact same number of words per minute the entire time he was studying, because her graph is a straight line. this is not true.","The decline in mason's graph after 16 minutes is too sharp. Ken's actual decline in the number of memorized words per minute was less dramatic, and did not decline to 0 at 40 minus. Mason's points are not correct.",d,,d,,a,,,,b,,a,d,b,,,=   number of people in millions    =   initial amount    =   rate of increase    =   years since 1965,number of people in millions,initial amount,rate of increase,years since 1965,,,,,,The food supply is sufficient for the people of Newland,The line representing Newland's population is far below the Line representing the food supply,a,"The graph shows that Newland has enough food over the 20 year period to export some of it, although after that period they may not.",,,,b,"The equation will give you an exact numerical answer, while looking at the graph could be inaccurate",,,,: a;: d;: c;: b,a,d,c,b,,: e,e,a,"The line for angel's hike ends closer to the origin than robin's, indicating that she took less time. Robin took the entirety of the graph",d,"It is an exponential growth equation, and the graph is representing exponential growth",=   spore density in number per plant    =   initial number of mold    =   rate of growth    =   months since planting,spore density in number per plant,initial number of mold,rate of growth,months since planting,,,,,,,,,,,,,,,,,,,,,,,,b,The area under the curve of tunnel 2 is larger than that of tunnel 1,,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1454,1795,PSM_Pretest_2020_E(c),,,,,,,,,,,,,,,,,,d,"On the graph, there is a substantial decreases during the 1990's, which is different than the ongoing positive increase of the rest of the graph.","Economy might be going through a decline, prices increased.",c,,,,"Representation: 1;Reason(s): 2,7",b,"c,h","California has the biggest  amount of total number of vehicle collisions, however one of the smallest numbers of wildlife vehicle collisions. Even though California has the highest population, it has the lowest proportion of wildlife vehicle collisions.",The percent of proportion of wildlife vehicle collisions and population.,"I think since California is such a huge state, there is more room for humans and animals to have their own space. Also, many of the urban cities are located away from wildlife centers.",This graph does not match the situation because it shows a drastic decrease which is not in the situation.,This graph matches the situation because the DDT is losing half of its mass every 15 years shown in the graph.,,,"Maya's graph is staying the same, therefore you can't see any positive change his memorization.",Mason's graph is declining which is also wrong because Ken's memorization increases while the amount of minutes studying increases.,f,,b,,d,,,,,,,d,c,,,=   is the number of people growing in the population    =   the number of years    =   amount of newly added people    =   growth rate,is the number of people growing in the population,the number of years,amount of newly added people,growth rate,,,,,,"As the food supply increased, Newland's population increased.",Both the dotted lines are going upward to a higher number of people meaning people are surviving because there is more food intake.,a,They should use the graph because it gives a more clear and positive view of the positive effects of food exportation leading to population increase.,,,,b,"To find out the specific year, they would want to find out that number by solving using the equations.",,,,: d;: b;: c;: a,d,b,c,a,,": a,b","a,b",a,Angels red line is shorter than Robin's blue line. Angel has a smaller distance than Robin.,a,The equation I chose is a good match because it has the right amount of variables in the equation and has a positive relationship.,,,,,,: 0; : 4;: 1;: 9,a,e,b,j,,,,,,,,,,,,,"Representation: 0;Reason(s): 2,5",a,"c,f",,,,,,,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
